participant,X,Y,Z,participant,X,Y,Z
1,29.4,1.1,54.9,14,37.5,-1.6,52.6
2,33.0,-2.2,50.4,15,31.8,-8.4,59.0
3,30.6,-1.5,50.6,16,31.0,-5.1,54.3
4,25.7,-3.8,56.4,17,35.0,8.4,49.8
5,29.8,-5.2,55.8,18,28.1,-3.8,52.8
6,29.8,-1.1,58.3,19,41.2,-1.7,47.6
7,38.1,3.0,46.0,20,37.3,-0.9,43.4
8,31.5,0.5,45.6,21,34.3,-2.9,49.2
9,28.5,3.6,51.3,22,27.7,-10.1,51.0
10,28.1,-1.9,50.7,23,30.3,-5.3,55.3
11,30.6,-3.8,52.0,24,26.8,-3.9,54.6
12,36.5,-0.4,46.8,25,29.0,4.9,49.1
13,26.2,-1.1,54.7,26,30.3,-3.9,50.9
